Point ID,Time [ms],Force [N],Energy [J],Displacement [mm],Velocity [m/s]
185,0.92,485.511043,0.620181,2.210194,2.383777
186,0.925,508.630616,0.626105,2.222112,2.383487
187,0.93,520.190403,0.632235,2.234029,2.383186
188,0.935,520.190403,0.638433,2.245944,2.38288
189,0.94,497.070829,0.644493,2.257858,2.382583
190,0.945,566.42955,0.650827,2.26977,2.38227
191,0.95,531.75019,0.657367,2.28168,2.381944
192,0.955,543.309976,0.663769,2.293589,2.381627
193,0.96,508.630616,0.670032,2.305497,2.381318
194,0.965,508.630616,0.676087,2.317403,2.38102
195,0.97,485.511043,0.682005,2.329307,2.38073
196,0.975,497.070829,0.687852,2.34121,2.380445
197,0.98,462.391469,0.693562,2.353111,2.380167
198,0.985,485.511043,0.699202,2.365012,2.379893
199,0.99,543.309976,0.705323,2.37691,2.379591
200,0.995,508.630616,0.71158,2.388807,2.379282
201,1,520.190403,0.7177,2.400703,2.37898
202,1.005,577.989336,0.724231,2.412597,2.378655
203,1.01,566.42955,0.731036,2.42449,2.378314
204,1.015,577.989336,0.737839,2.43638,2.377973
205,1.02,612.668697,0.744917,2.448269,2.377617
206,1.025,624.228483,0.752269,2.460157,2.377244
207,1.03,554.869763,0.759276,2.472042,2.376891
208,1.035,589.549123,0.766076,2.483925,2.376551
209,1.04,566.42955,0.772943,2.495807,2.376206
210,1.045,612.668697,0.779947,2.507687,2.375853
211,1.05,566.42955,0.78695,2.519566,2.3755
212,1.055,589.549123,0.793815,2.531443,2.375155
213,1.06,601.10891,0.800884,2.543317,2.374799
214,1.065,635.78827,0.808227,2.55519,2.374426
215,1.07,635.78827,0.815775,2.567062,2.374042
216,1.075,635.78827,0.823321,2.578931,2.373658
217,1.08,693.587204,0.831209,2.590798,2.373254
218,1.085,670.46763,0.839301,2.602663,2.372838
219,1.09,705.14699,0.847461,2.614527,2.372418
220,1.095,716.706777,0.855893,2.626388,2.371983
221,1.1,693.587204,0.864256,2.638246,2.371551
222,1.105,716.706777,0.872616,2.650103,2.37112
223,1.11,693.587204,0.880975,2.661958,2.370688
224,1.115,670.46763,0.889059,2.67381,2.370273
225,1.12,693.587204,0.897141,2.68566,2.369857
226,1.125,624.228483,0.904948,2.697509,2.369457
227,1.13,670.46763,0.912617,2.709355,2.369065
228,1.135,682.027417,0.920627,2.721199,2.368653
229,1.14,705.14699,0.92884,2.733041,2.368229
230,1.145,693.587204,0.937121,2.744881,2.367802
231,1.15,728.266564,0.945537,2.756719,2.367366
232,1.155,751.386137,0.954293,2.768555,2.366911
233,1.16,774.505711,0.963321,2.780388,2.36644
234,1.165,762.945924,0.972416,2.792219,2.365966
235,1.17,809.185071,0.981714,2.804048,2.365479
236,1.175,820.744858,0.991352,2.815874,2.364973
237,1.18,786.065497,1.000851,2.827698,2.364474
238,1.185,762.945924,1.010007,2.839519,2.363995
239,1.19,774.505711,1.019092,2.851338,2.36352
240,1.195,751.386137,1.028107,2.863154,2.36305
241,1.2,739.826351,1.036916,2.874968,2.36259
242,1.205,739.826351,1.045655,2.88678,2.362135
243,1.21,797.625284,1.054733,2.89859,2.36166
244,1.215,797.625284,1.064151,2.910397,2.361166
245,1.22,820.744858,1.073703,2.922201,2.360664
246,1.225,820.744858,1.083389,2.934003,2.360153
247,1.23,855.424218,1.093278,2.945803,2.359631
248,1.235,843.864431,1.103301,2.9576,2.359101
249,1.24,820.744858,1.113118,2.969394,2.358583
